id,review,sentiment
1,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফলাফল পেলাম।,2
2,ফেস ওয়াশটা মুখ পরিষ্কার রাখছে খুব ভালো।,2
3,অরিজিনাল ফেস ওয়াশ পেয়েছি। অনেক ধন্যবাদ।,2
4,ফেস ওয়াশ টা অসাধারণ। ছবির সাথে পণ্যের মিল আছে।,2
5,ফেস ওয়াশ এর গন্ধটা একটু অন্যরকম মনে হলো।,1
6,একটু সন্দেহ ছিল কিন্তু ফেস ওয়াশ দেখে মন ভালো হয়ে গেল।,2
7,মোটামুটি মানের ফেস ওয়াশ। না ভালো না খারাপ।,1
8,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফলাফল পেলাম।,2
9,ফেস ওয়াশ ব্যবহারে ত্বকে ভালো পরিবর্তন এসেছে।,2
10,দামে সাশ্রয়ী এবং মানসম্পন্ন ফেস ওয়াশ।,2
11,অরিজিনাল ফেস ওয়াশ পেয়েছি। অনেক ধন্যবাদ।,2
12,ফেস ওয়াশ খুব কার্যকর। পরিবারের সবার কাজে আসছে।,2
13,ফেস ওয়াশে দুর্গন্ধ ছিল।,0
14,অনেক ভালো ফেস ওয়াশ। দামও কম পড়েছিল।,2
15,ফেস ওয়াশ খুব ভালো প্রোডাক্ট। রিকমেন্ড করছি।,2
16,ফেস ওয়াশটা মুখ পরিষ্কার রাখছে খুব ভালো।,2
17,"অনেকদিন খুঁজছিলাম, শেষে ভালো ফেস ওয়াশ পেলাম।",2
18,ফেস ওয়াশটা মুখ পরিষ্কার রাখছে খুব ভালো।,2
19,"ফেস ওয়াশ পেয়েছি, দেখি কাজ করে কিনা।",1
20,ফেস ওয়াশ এর গন্ধ ও মান দুটোই ভালো।,2
21,ফেস ওয়াশটা আঠা আঠা ছিল। সীল খোলা ছিল।,0
22,ফেস ওয়াশটা সাধারণ মানের।,1
23,মানসম্পন্ন ফেস ওয়াশ। ধন্যবাদ সেলারকে।,2
24,ফেস ওয়াশ এর মেয়াদ প্রায় শেষ। নেওয়া উচিত হয়নি।,0
25,দ্রুত ডেলিভারি এবং ফেস ওয়াশ একদম ভালো।,2
26,আলহামদুলিল্লাহ ভালো ফেস ওয়াশ পেয়েছি।,2
27,ফেস ওয়াশ ব্যবহারে ত্বকে ভালো পরিবর্তন এসেছে।,2
28,"সেলারের সার্ভিস ভালো, ফেস ওয়াশ টাও ভালো পেয়েছি।",2
29,মানসম্পন্ন ফেস ওয়াশ। ধন্যবাদ সেলারকে।,2
30,এত কম দামে এত ভালো ফেস ওয়াশ পাওয়া যায় ভাবিনি।,2
