id,review,sentiment
1,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
2,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
3,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
4,ফেস ওয়াশ টি হাতে পেয়েছি। মোটামুটি ভালো।,1
5,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
6,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
7,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
8,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2
9,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
10,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2
11,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2
12,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2
13,ফেস ওয়াশ টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
14,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2
15,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
16,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
17,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2
18,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2
19,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
20,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2
21,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
22,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
23,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
24,ফেস ওয়াশ টি হাতে পেয়েছি। মোটামুটি ভালো।,1
25,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0
26,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0
27,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
28,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
29,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2
30,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2
31,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
32,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
33,ফেস ওয়াশ টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
34,ফেস ওয়াশ এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
35,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
36,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
37,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2
38,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
39,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
40,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0
41,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
42,ফেস ওয়াশ টি হাতে পেয়েছি। মোটামুটি ভালো।,1
43,"ফেস ওয়াশ ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
44,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
45,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2
46,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
47,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
48,ফেস ওয়াশ টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
49,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
50,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0
51,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
52,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
