id,review,sentiment
1,বাজারের চেয়ে কম মূল্যে অরিজিনাল ফেস ওয়াশ পেয়েছি।,2
2,বাজারের চেয়ে কম মূল্যে অরিজিনাল ফেস ওয়াশ পেয়েছি।,2
3,"ছবির মতো সেম ফেস ওয়াশ পাইনি, তবে কাজ চলে যাবে।",1
4,ফেস ওয়াশ সবসময়ই অনেক ভালো কাজ করে। ধন্যবাদ সেলারকে।,2
5,ছবির সাথে ফেস ওয়াশ এর হুবহু মিল আছে। খুব সুন্দর।,2
6,মোটামুটি মানের ফেস ওয়াশ। দাম অনুযায়ী ঠিক আছে।,1
7,ডেলিভারি অনেক লেট। ফেস ওয়াশ হাতে পেয়ে হতাশ হলাম।,0
8,"আমি দুইবার নিয়েছি, ভালো ফেস ওয়াশ সবাই পছন্দ করে নিতে পারেন।",2
9,দাম অনুযায়ী অনেক ভালো একটা ফেস ওয়াশ।,2
10,১০০% অথেন্টিক ফেস ওয়াশ। চোখ বন্ধ করে নিতে পারেন সবাই।,2
11,অনেক ভালো ছিল ফেস ওয়াশ কমে দামে। আপনারা চাইলে নিতে পারেন।,2
12,জাস্ট অসাধরন ফেস ওয়াশ। আমার খুবই পছন্দ হয়েছে।,2
13,ধন্যবাদ দারাজ কে। সঠিক ফেস ওয়াশ হাতে পেয়েছি।,2
14,এত কম দামে ফেস ওয়াশ। খুব খুশি কিনতে পেরে।,2
15,খুবই ভালো মানের ফেস ওয়াশ। একদম ন্যাচারাল মনে হয়।,2
16,অসাধারণ ফেস ওয়াশ। সবার ব্যবহার করা উচিত।,2
17,ধন্যবাদ দারাজ কে। সঠিক ফেস ওয়াশ হাতে পেয়েছি।,2
18,অনেক ভালো ছিল ফেস ওয়াশ কমে দামে। আপনারা চাইলে নিতে পারেন।,2
19,অনেক ভালো ফেস ওয়াশ। দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।,2
20,বাজারের চেয়ে কম মূল্যে অরিজিনাল ফেস ওয়াশ পেয়েছি।,2
21,সব গুলোই ভালো ছিলো। শুধু ফেস ওয়াশ এর প্যাকেট এক জায়গায় ভাঙ্গা ছিল।,0
22,"ফেস ওয়াশ হাতে পেয়েছি, মেয়াদও আছে দেখলাম।",1
23,দ্রুত ডেলিভারি দেয়ার জন্য অসংখ্য ধন্যবাদ। ফেস ওয়াশ টা অনেক সুন্দর।,2
24,সেলার ভাই এর ব্যবহার খুব ভালো। ফেস ওয়াশ দ্রুত হাতে পেয়েছি।,2
25,দ্রুত ডেলিভারি দেয়ার জন্য অসংখ্য ধন্যবাদ। ফেস ওয়াশ টা অনেক সুন্দর।,2
26,ধন্যবাদ দারাজ কে। সঠিক ফেস ওয়াশ হাতে পেয়েছি।,2
27,বাজারের চেয়ে কম মূল্যে অরিজিনাল ফেস ওয়াশ পেয়েছি।,2
28,"ফেস ওয়াশ এর অবস্থা খুবই খারাপ, রিটার্ন করবো।",0
29,অনেক ভালো ফেস ওয়াশ। দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।,2
30,ফেস ওয়াশ এই প্রথম কিনলাম। ব্যবহার করলে বুঝতে পারবো কেমন।,1
31,"অসাধারণ! মিনি ফেস ওয়াশ, খুব ভালো প্রোডাক্ট।",2
32,বাজারের চেয়ে কম মূল্যে অরিজিনাল ফেস ওয়াশ পেয়েছি।,2
33,অনেক ভালো ফেস ওয়াশ। দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।,2
34,প্রডাক্ট আশানুরূপ সাথে একটা ফেস ওয়াশ ফ্রি দেওয়ার জন্য ধন্যবাদ।,2
35,জাস্ট অসাধরন ফেস ওয়াশ। আমার খুবই পছন্দ হয়েছে।,2
36,ফেস ওয়াশ সবসময়ই অনেক ভালো কাজ করে। ধন্যবাদ সেলারকে।,2
37,"ডেলিভারি দ্রুত পেয়েছি, তবে ফেস ওয়াশ এর প্যাকেজিং আরো ভালো হতে পারতো।",1
38,"অসাধারণ! মিনি ফেস ওয়াশ, খুব ভালো প্রোডাক্ট।",2
39,সেলার রেসপন্স ভালো। ফেস ওয়াশ ব্যবহার করে রিভিউ দিবো।,1
40,দ্রুত ডেলিভারি দেয়ার জন্য অসংখ্য ধন্যবাদ। ফেস ওয়াশ টা অনেক সুন্দর।,2
41,অনেক ভালো একটি ফেস ওয়াশ। ধন্যবাদ সেলারকে।,2
42,১০০% অথেন্টিক ফেস ওয়াশ। চোখ বন্ধ করে নিতে পারেন সবাই।,2
43,দ্রুত ডেলিভারি দেয়ার জন্য অসংখ্য ধন্যবাদ। ফেস ওয়াশ টা অনেক সুন্দর।,2
44,"সব পন্য গুলো ভাল, কিন্তু ফেস ওয়াশ টার ডেট একেবারে শেষ প্রান্তে।",0
45,বাজারের চেয়ে কম মূল্যে অরিজিনাল ফেস ওয়াশ পেয়েছি।,2
46,দাম অনুযায়ী অনেক ভালো একটা ফেস ওয়াশ।,2
47,ধন্যবাদ দারাজ কে। সঠিক ফেস ওয়াশ হাতে পেয়েছি।,2
48,অর্ডারের সাথে ফেস ওয়াশ টা দেয়া হয়নি প্যাকেটে।,0
49,এত কম দামে ফেস ওয়াশ। খুব খুশি কিনতে পেরে।,2
50,ছবির সাথে ফেস ওয়াশ এর হুবহু মিল আছে। খুব সুন্দর।,2
51,অনেক ভালো একটি ফেস ওয়াশ। ধন্যবাদ সেলারকে।,2
52,"অসাধারণ! মিনি ফেস ওয়াশ, খুব ভালো প্রোডাক্ট।",2
53,বাজারের চেয়ে কম মূল্যে অরিজিনাল ফেস ওয়াশ পেয়েছি।,2
54,প্রডাক্ট আশানুরূপ সাথে একটা ফেস ওয়াশ ফ্রি দেওয়ার জন্য ধন্যবাদ।,2
55,"ফেস ওয়াশ নিয়ে নতুন কি আর বলব, দারুন!",2
56,"ফেস ওয়াশ এর অবস্থা খুবই খারাপ, রিটার্ন করবো।",0
57,ছবির সাথে ফেস ওয়াশ এর হুবহু মিল আছে। খুব সুন্দর।,2
58,"ফেস ওয়াশ নিয়ে নতুন কি আর বলব, দারুন!",2
59,ছবির সাথে ফেস ওয়াশ এর হুবহু মিল আছে। খুব সুন্দর।,2
60,"অসাধারণ! মিনি ফেস ওয়াশ, খুব ভালো প্রোডাক্ট।",2
61,ছবির সাথে ফেস ওয়াশ এর হুবহু মিল আছে। খুব সুন্দর।,2
62,জাস্ট অসাধরন ফেস ওয়াশ। আমার খুবই পছন্দ হয়েছে।,2
63,ফেস ওয়াশ এই প্রথম কিনলাম। ব্যবহার করলে বুঝতে পারবো কেমন।,1
64,"ফেস ওয়াশ নিয়ে নতুন কি আর বলব, দারুন!",2
65,অনেক ভালো ছিল ফেস ওয়াশ কমে দামে। আপনারা চাইলে নিতে পারেন।,2
66,"ফেস ওয়াশ নিয়ে নতুন কি আর বলব, দারুন!",2
67,১০০% অথেন্টিক ফেস ওয়াশ। চোখ বন্ধ করে নিতে পারেন সবাই।,2
68,১০০% অথেন্টিক ফেস ওয়াশ। চোখ বন্ধ করে নিতে পারেন সবাই।,2
69,"আমি দুইবার নিয়েছি, ভালো ফেস ওয়াশ সবাই পছন্দ করে নিতে পারেন।",2
70,বাজারের চেয়ে কম মূল্যে অরিজিনাল ফেস ওয়াশ পেয়েছি।,2
71,সেলার ভাই এর ব্যবহার খুব ভালো। ফেস ওয়াশ দ্রুত হাতে পেয়েছি।,2
72,সীল টা খোলা ছিল। ফেস ওয়াশ আঠা আঠা ছিল। এমনটা আশা ছিল না।,0
73,ডেলিভারি অনেক লেট। ফেস ওয়াশ হাতে পেয়ে হতাশ হলাম।,0
74,প্যাকেজিং খুব ভালো ছিল। অরিজিনাল ফেস ওয়াশ পেয়েছি।,2
75,১০০% অথেন্টিক ফেস ওয়াশ। চোখ বন্ধ করে নিতে পারেন সবাই।,2
76,ফেস ওয়াশ সবসময়ই অনেক ভালো কাজ করে। ধন্যবাদ সেলারকে।,2
77,"অসাধারণ! মিনি ফেস ওয়াশ, খুব ভালো প্রোডাক্ট।",2
78,দাম অনুযায়ী অনেক ভালো একটা ফেস ওয়াশ।,2
