id,review,sentiment,bio_tagged_review
1,ফেস ওয়াশ টি অনেক ভালো এবং মেয়াদ আছে থ্যাংক ইউ দারাজকে।,2,ফেস-B ওয়াশ-I টি অনেক ভালো এবং মেয়াদ আছে থ্যাংক ইউ দারাজকে।
2,"দাম অনুযায়ী অনেক ভালো একটা ফেস ওয়াশ, সবাই নিতে পারেন।",2,"দাম অনুযায়ী অনেক ভালো একটা ফেস-B ওয়াশ,-I সবাই নিতে পারেন।"
3,"ফেস ওয়াশ টা অনেক সুন্দর, অসংখ্য ধন্যবাদ ডেলিভারি খুব দ্রুত দেয়ার জন্য।",2,"ফেস-B ওয়াশ-I টা অনেক সুন্দর, অসংখ্য ধন্যবাদ ডেলিভারি খুব দ্রুত দেয়ার জন্য।"
4,"নিশ্চিন্তে নিতে পারেন সবাই, ফেস ওয়াশ খুবই কাজের জিনিস।",2,"নিশ্চিন্তে নিতে পারেন সবাই, ফেস-B ওয়াশ-I খুবই কাজের জিনিস।"
5,খুবই অল্প দামে ভালোমানের ফেস ওয়াশ পেয়ে অনেক ভালো লাগছে।,2,খুবই অল্প দামে ভালোমানের ফেস-B ওয়াশ-I পেয়ে অনেক ভালো লাগছে।
6,"ফেস ওয়াশ এর কার্যকারিতা জিরো, কোনো কাজের না এটা।",0,"ফেস-B ওয়াশ-I এর কার্যকারিতা জিরো, কোনো কাজের না এটা।"
7,ফেস ওয়াশ টি অনেক ভালো এবং মেয়াদ আছে থ্যাংক ইউ দারাজকে 👍,2,ফেস-B ওয়াশ-I টি অনেক ভালো এবং মেয়াদ আছে থ্যাংক ইউ দারাজকে 👍
8,"খুবই চমৎকার ফেস ওয়াশ, অরিজিনাল প্রোডাক্ট দেওয়ার জন্য ধন্যবাদ সেলার ও দারাজকে।",2,"খুবই চমৎকার ফেস-B ওয়াশ,-I অরিজিনাল প্রোডাক্ট দেওয়ার জন্য ধন্যবাদ সেলার ও দারাজকে।"
9,"১০০% অরিজিনাল ফেস ওয়াশ, যেমনটা চেয়েছি তেমনটাই পেয়েছি।",2,"১০০% অরিজিনাল ফেস-B ওয়াশ,-I যেমনটা চেয়েছি তেমনটাই পেয়েছি।"
10,ফেস ওয়াশ সবসময়ই আমার অনেক ভালো লেগেছে। অনেক ভালো একটা প্রোডাক্ট। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I সবসময়ই আমার অনেক ভালো লেগেছে। অনেক ভালো একটা প্রোডাক্ট। ধন্যবাদ সেলারকে।
11,এত কম দামে ফেস ওয়াশ। খুব খুশি কিনতে পেরে।,2,এত কম দামে ফেস-B ওয়াশ।-I খুব খুশি কিনতে পেরে।
12,ফেস ওয়াশ এর মেয়াদ আছে মাত্র কয়েক দিন। খুবই হতাশ হলাম।,0,ফেস-B ওয়াশ-I এর মেয়াদ আছে মাত্র কয়েক দিন। খুবই হতাশ হলাম।
13,সাধারণ ব্যবহারের জন্য ফেস ওয়াশ ঠিক আছে।,1,সাধারণ ব্যবহারের জন্য ফেস-B ওয়াশ-I ঠিক আছে।
14,"ফেস ওয়াশ অনেক ভালো, ডেলিভারি খুব ফাস্ট ছিল, সেলারের ব্যবহারও অনেক ভালো।",2,"ফেস-B ওয়াশ-I অনেক ভালো, ডেলিভারি খুব ফাস্ট ছিল, সেলারের ব্যবহারও অনেক ভালো।"
15,"চলবে, তবে ফেস ওয়াশ এর মান আরও একটু উন্নত হতে পারত।",1,"চলবে, তবে ফেস-B ওয়াশ-I এর মান আরও একটু উন্নত হতে পারত।"
16,এত কম দামে ফেস ওয়াশ। খুব খুশি কিনতে পেরে ❤️,2,এত কম দামে ফেস-B ওয়াশ।-I খুব খুশি কিনতে পেরে ❤️
17,"ব্যবহার করে দেখছি, ফেস ওয়াশ এর কার্যকারিতা সাধারণ মানের।",1,"ব্যবহার করে দেখছি, ফেস-B ওয়াশ-I এর কার্যকারিতা সাধারণ মানের।"
18,ফেস ওয়াশ গুলো বেশ ভালোই ছিল। ব্যবহার করে ভালো লেগেছে।,2,ফেস-B ওয়াশ-I গুলো বেশ ভালোই ছিল। ব্যবহার করে ভালো লেগেছে।
19,খুবই অল্প দামে ভালোমানের ফেস ওয়াশ পেয়ে অনেক ভালো লাগছে ❤️,2,খুবই অল্প দামে ভালোমানের ফেস-B ওয়াশ-I পেয়ে অনেক ভালো লাগছে ❤️
20,"প্যাকেজিং অনেক সুন্দর ছিল, ফেস ওয়াশ একদম অক্ষত অবস্থায় পেয়েছি।",2,"প্যাকেজিং অনেক সুন্দর ছিল, ফেস-B ওয়াশ-I একদম অক্ষত অবস্থায় পেয়েছি।"
21,খুবই ভালো মানের ফেস ওয়াশ। একদম পারফেক্ট মনে হয় ব্যবহারেও খুব ভাল ফল পেয়েছি।,2,খুবই ভালো মানের ফেস-B ওয়াশ।-I একদম পারফেক্ট মনে হয় ব্যবহারেও খুব ভাল ফল পেয়েছি।
22,সাধারণ ব্যবহারের জন্য ফেস ওয়াশ ঠিক আছে 😊,1,সাধারণ ব্যবহারের জন্য ফেস-B ওয়াশ-I ঠিক আছে 😊
23,"ফেস ওয়াশ টা চলনসই, এই বাজেটে এর চেয়ে ভালো আশা করা যায় না।",1,"ফেস-B ওয়াশ-I টা চলনসই, এই বাজেটে এর চেয়ে ভালো আশা করা যায় না।"
24,"মোটামুটি ভালোই মনে হচ্ছে, ফেস ওয়াশ এর কোয়ালিটি স্বাভাবিক।",1,"মোটামুটি ভালোই মনে হচ্ছে, ফেস-B ওয়াশ-I এর কোয়ালিটি স্বাভাবিক।"
25,ফেস ওয়াশ গুলো বেশ ভালোই ছিল। ব্যবহার করে ভালো লেগেছে!!,2,ফেস-B ওয়াশ-I গুলো বেশ ভালোই ছিল। ব্যবহার করে ভালো লেগেছে!!
26,অনেক ভালো ছিল ফেস ওয়াশ কমে দামে। আপনারা চাইলে নিতে পারেন। ধন্যবাদ দারাজ সেলারকে।,2,অনেক ভালো ছিল ফেস-B ওয়াশ-I কমে দামে। আপনারা চাইলে নিতে পারেন। ধন্যবাদ দারাজ সেলারকে।
