id,review,sentiment
1,"অনেক ভালো ছিল ফেস ওয়াশ। কম দামে পেয়েছি, আপনারা চাইলে নিতে পারেন। ধন্যবাদ।",2
2,"অসাধারণ ফেস ওয়াশ। প্রডাক্ট আশানুরূপ, ব্যবহার করে খুব ভালো লেগেছে। অনেক ধন্যবাদ!",2
3,"আসসালামু আলাইকুম। খুবই ভালো মানের ফেস ওয়াশ। একদম অরিজিনাল মনে হয়, ব্যবহারেও খুব ভাল ফল পেয়েছি।",2
4,"দাম অনুযায়ী অনেক ভালো একটা ফেস ওয়াশ, ধন্যবাদ সেলার ও দারাজকে।",2
5,"সব পন্য গুলো ভাল ছিল, বিশেষ করে ফেস ওয়াশ অনেক সুন্দর এবং কাজের। অনেক ধন্যবাদ!",2
6,আসসালামু আলাইকুম। খুব দ্রুত ডেলিভারি পেয়েছি। ফেস ওয়াশ এর প্যাকেজিং এবং কোয়ালিটি অনেক ভালো ছিল।,2
7,"এই ফেস ওয়াশ টা অনেক চমৎকার, ছবির সাথে সম্পূর্ণ মিল আছে। সবাই নিতে পারেন।",2
8,দাম অনেক কম ছিল কিন্তু ফেস ওয়াশ এর মান খুবই প্রিমিয়াম লেগেছে। অনেক ধন্যবাদ!,2
9,"আসসালামু আলাইকুম। অনেক ভালো পোডাক্ট পেয়েছি। ফেস ওয়াশ টা খুব দ্রুত হাতে পেয়েছি, ধন্যবাদ সেলার কি।",2
10,অসংখ্য ধন্যবাদ এতো সুন্দর ফেস ওয়াশ দেওয়ার জন্য। খুবই সন্তুষ্ট ব্যবহার করে।,2
11,"অনেক ভালো ছিল ফেস ওয়াশ। কম দামে পেয়েছি, আপনারা চাইলে নিতে পারেন। ধন্যবাদ। অনেক ধন্যবাদ!",2
12,"আসসালামু আলাইকুম। অসাধারণ ফেস ওয়াশ। প্রডাক্ট আশানুরূপ, ব্যবহার করে খুব ভালো লেগেছে।",2
13,"খুবই ভালো মানের ফেস ওয়াশ। একদম অরিজিনাল মনে হয়, ব্যবহারেও খুব ভাল ফল পেয়েছি।",2
