id,review,sentiment,bio_tagged_review
1,অর্ডার করেছিলাম ফেস ওয়াশ কিন্তু ভুল পণ্য দিয়েছেন।,0,অর্ডার করেছিলাম ফেস-B ওয়াশ-I কিন্তু ভুল পণ্য দিয়েছেন।
2,মানের কোন সমস্যা নেই। ফেস ওয়াশ অসাধারণ।,2,মানের কোন সমস্যা নেই। ফেস-B ওয়াশ-I অসাধারণ।
3,ফেস ওয়াশ এ প্রথম বার কিনলাম। এখনো ব্যবহার করিনি।,1,ফেস-B ওয়াশ-I এ প্রথম বার কিনলাম। এখনো ব্যবহার করিনি।
4,ডেলিভারি দ্রুত এবং ফেস ওয়াশ নিখুঁত অবস্থায় পেয়েছি।,2,ডেলিভারি দ্রুত এবং ফেস-B ওয়াশ-I নিখুঁত অবস্থায় পেয়েছি।
5,ফেস ওয়াশ সঠিক পণ্যটি হাতে পেয়েছি। একদম সন্তোষজনক।,2,ফেস-B ওয়াশ-I সঠিক পণ্যটি হাতে পেয়েছি। একদম সন্তোষজনক।
6,ফেস ওয়াশ তে বিশেষ কোন বৈশিষ্ট্য নেই।,1,ফেস-B ওয়াশ-I তে বিশেষ কোন বৈশিষ্ট্য নেই।
7,ফেস ওয়াশ আমার চর্মে এ্যালার্জি করেছে।,0,ফেস-B ওয়াশ-I আমার চর্মে এ্যালার্জি করেছে।
8,"যাই হোক, ফেস ওয়াশ কিছু সাধারণ পণ্য।",1,"যাই হোক, ফেস-B ওয়াশ-I কিছু সাধারণ পণ্য।"
9,ফেস ওয়াশ র মান মাঝামাঝি ধরনের। না ভালো না খারাপ।,1,ফেস-B ওয়াশ-I র মান মাঝামাঝি ধরনের। না ভালো না খারাপ।
10,পরিবারের সবাই এই ফেস ওয়াশ পছন্দ করে।,2,পরিবারের সবাই এই ফেস-B ওয়াশ-I পছন্দ করে।
11,ফেস ওয়াশ ব্যবহার করলে বুঝতে পারবো আসলে কেমন।,1,ফেস-B ওয়াশ-I ব্যবহার করলে বুঝতে পারবো আসলে কেমন।
12,ফেস ওয়াশ খুবই কার্যকর নয়। টাকার অপচয়।,0,ফেস-B ওয়াশ-I খুবই কার্যকর নয়। টাকার অপচয়।
13,ফেস ওয়াশ খুবই ভালো মানের। ব্যবহারেও খুব ভাল ফল পেয়েছি।,2,ফেস-B ওয়াশ-I খুবই ভালো মানের। ব্যবহারেও খুব ভাল ফল পেয়েছি।
14,খুব খুশি এই ফেস ওয়াশ কিনতে পেরে।,2,খুব খুশি এই ফেস-B ওয়াশ-I কিনতে পেরে।
15,দাম অনুযায়ী অনেক ভালো একটা ফেস ওয়াশ।,2,দাম অনুযায়ী অনেক ভালো একটা ফেস-B ওয়াশ-I।
16,প্রোডাক্ট আশানুরূপ। ফেস ওয়াশ নিয়ে সম্পূর্ণ সন্তুষ্ট।,2,প্রোডাক্ট আশানুরূপ। ফেস-B ওয়াশ-I নিয়ে সম্পূর্ণ সন্তুষ্ট।
17,ফেস ওয়াশ একটি চমৎকার পণ্য। উপকার পেলে আবার নেব।,2,ফেস-B ওয়াশ-I একটি চমৎকার পণ্য। উপকার পেলে আবার নেব।
18,ফেস ওয়াশ সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।
19,খুব খুশি এই ফেস ওয়াশ কিনতে পেরে।,2,খুব খুশি এই ফেস-B ওয়াশ-I কিনতে পেরে।
20,ফেস ওয়াশ ব্যবহার করলে বুঝতে পারবো আসলে কেমন।,1,ফেস-B ওয়াশ-I ব্যবহার করলে বুঝতে পারবো আসলে কেমন।
21,বাজারের চেয়ে কম মূল্যে আসল ফেস ওয়াশ পেয়েছি।,2,বাজারের চেয়ে কম মূল্যে আসল ফেস-B ওয়াশ-I পেয়েছি।
22,ফেস ওয়াশ দিতেই পারেনি। এটা গুরুতর সমস্যা।,0,ফেস-B ওয়াশ-I দিতেই পারেনি। এটা গুরুতর সমস্যা।
23,ফেস ওয়াশ এর প্যাকেজিং খুবই খারাপ ছিল।,0,ফেস-B ওয়াশ-I এর প্যাকেজিং খুবই খারাপ ছিল।
24,ফেস ওয়াশ সম্পর্কে কোন বিশেষ মন্তব্য নেই।,1,ফেস-B ওয়াশ-I সম্পর্কে কোন বিশেষ মন্তব্য নেই।
