id,review,sentiment,bio_tagged_review
1,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফলাফল পেলাম।,2,ফেস-B ওয়াশ-I
2,ফেস ওয়াশটা মুখ পরিষ্কার রাখছে খুব ভালো।,2,
3,অরিজিনাল ফেস ওয়াশ পেয়েছি। অনেক ধন্যবাদ।,2,ফেস-B ওয়াশ-I
4,ফেস ওয়াশ টা অসাধারণ। ছবির সাথে পণ্যের মিল আছে।,2,ফেস-B ওয়াশ-I
5,ফেস ওয়াশ এর গন্ধটা একটু অন্যরকম মনে হলো।,1,ফেস-B ওয়াশ-I
6,একটু সন্দেহ ছিল কিন্তু ফেস ওয়াশ দেখে মন ভালো হয়ে গেল।,2,ফেস-B ওয়াশ-I
7,মোটামুটি মানের ফেস ওয়াশ। না ভালো না খারাপ।,1,ফেস-B ওয়াশ-I
8,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফলাফল পেলাম।,2,ফেস-B ওয়াশ-I
9,ফেস ওয়াশ ব্যবহারে ত্বকে ভালো পরিবর্তন এসেছে।,2,ফেস-B ওয়াশ-I
10,দামে সাশ্রয়ী এবং মানসম্পন্ন ফেস ওয়াশ।,2,ফেস-B ওয়াশ-I
11,অরিজিনাল ফেস ওয়াশ পেয়েছি। অনেক ধন্যবাদ।,2,ফেস-B ওয়াশ-I
12,ফেস ওয়াশ খুব কার্যকর। পরিবারের সবার কাজে আসছে।,2,ফেস-B ওয়াশ-I
13,ফেস ওয়াশে দুর্গন্ধ ছিল।,0,
14,অনেক ভালো ফেস ওয়াশ। দামও কম পড়েছিল।,2,ফেস-B ওয়াশ-I
15,ফেস ওয়াশ খুব ভালো প্রোডাক্ট। রিকমেন্ড করছি।,2,ফেস-B ওয়াশ-I
16,ফেস ওয়াশটা মুখ পরিষ্কার রাখছে খুব ভালো।,2,
17,"অনেকদিন খুঁজছিলাম, শেষে ভালো ফেস ওয়াশ পেলাম।",2,ফেস-B ওয়াশ-I
18,ফেস ওয়াশটা মুখ পরিষ্কার রাখছে খুব ভালো।,2,
19,"ফেস ওয়াশ পেয়েছি, দেখি কাজ করে কিনা।",1,ফেস-B ওয়াশ-I
20,ফেস ওয়াশ এর গন্ধ ও মান দুটোই ভালো।,2,ফেস-B ওয়াশ-I
21,ফেস ওয়াশটা আঠা আঠা ছিল। সীল খোলা ছিল।,0,
22,ফেস ওয়াশটা সাধারণ মানের।,1,
23,মানসম্পন্ন ফেস ওয়াশ। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I
24,ফেস ওয়াশ এর মেয়াদ প্রায় শেষ। নেওয়া উচিত হয়নি।,0,ফেস-B ওয়াশ-I
25,দ্রুত ডেলিভারি এবং ফেস ওয়াশ একদম ভালো।,2,ফেস-B ওয়াশ-I
26,আলহামদুলিল্লাহ ভালো ফেস ওয়াশ পেয়েছি।,2,ফেস-B ওয়াশ-I
27,ফেস ওয়াশ ব্যবহারে ত্বকে ভালো পরিবর্তন এসেছে।,2,ফেস-B ওয়াশ-I
28,"সেলারের সার্ভিস ভালো, ফেস ওয়াশ টাও ভালো পেয়েছি।",2,ফেস-B ওয়াশ-I
29,মানসম্পন্ন ফেস ওয়াশ। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I
30,এত কম দামে এত ভালো ফেস ওয়াশ পাওয়া যায় ভাবিনি।,2,ফেস-B ওয়াশ-I
31,ফেস ওয়াশ টা আশানুরূপ ছিল না। দাম অনুযায়ী মান নেই।,0,ফেস-B ওয়াশ-I
32,অনেক ভালো ফেস ওয়াশ। দামও কম পড়েছিল।,2,ফেস-B ওয়াশ-I
33,ফেস ওয়াশ নিয়ে আমি অনেক খুশি। বারবার কিনব।,2,ফেস-B ওয়াশ-I
34,ফেস ওয়াশ ব্যবহার করে উপকার পেয়েছি। সবাই ব্যবহার করতে পারেন।,2,ফেস-B ওয়াশ-I
35,"ফেস ওয়াশ পেয়েছি, দেখি কাজ করে কিনা।",1,ফেস-B ওয়াশ-I
36,ফেস ওয়াশ ব্যবহার করে কোনো উপকার পাইনি। হতাশ।,0,ফেস-B ওয়াশ-I
37,"মাশাআল্লাহ, অনেক সুন্দর ফেস ওয়াশ। ধন্যবাদ সেলারকে।",2,ফেস-B ওয়াশ-I
38,ফেস ওয়াশটা সাধারণ মানের।,1,
39,বাজে প্রোডাক্ট। ফেস ওয়াশ কিনে পস্তালাম।,0,ফেস-B ওয়াশ-I
40,ফেস ওয়াশটা আঠা আঠা ছিল। সীল খোলা ছিল।,0,
41,এত কম দামে এত ভালো ফেস ওয়াশ পাওয়া যায় ভাবিনি।,2,ফেস-B ওয়াশ-I
42,ফেস ওয়াশ এর গন্ধ ও মান দুটোই ভালো।,2,ফেস-B ওয়াশ-I
43,এত কম কোয়ালিটির ফেস ওয়াশ আশা করিনি। ফেরত দিতে চাই।,0,ফেস-B ওয়াশ-I
44,ফেস ওয়াশ নিয়ে আমি অনেক খুশি। বারবার কিনব।,2,ফেস-B ওয়াশ-I
45,"অনেকদিন খুঁজছিলাম, শেষে ভালো ফেস ওয়াশ পেলাম।",2,ফেস-B ওয়াশ-I
46,সীল খোলা ছিল। ফেস ওয়াশ ভালো মনে হয়নি।,0,ফেস-B ওয়াশ-I
47,সেলার ভালো মানের ফেস ওয়াশ দিয়েছেন। ধন্যবাদ।,2,ফেস-B ওয়াশ-I
48,পণ্যের মান নিয়ে নিশ্চিত নই। ফেস ওয়াশ নতুন কিনলাম।,1,ফেস-B ওয়াশ-I
49,ফেস ওয়াশ ব্যবহারে ত্বকে ভালো পরিবর্তন এসেছে।,2,ফেস-B ওয়াশ-I
50,ফেস ওয়াশটা সাধারণ মানের।,1,
51,ফেস ওয়াশ একদম অরিজিনাল। ধন্যবাদ দারাজকে।,2,ফেস-B ওয়াশ-I
52,দেখতে ঠিকঠাক ফেস ওয়াশ। ব্যবহার করলে বোঝা যাবে।,1,ফেস-B ওয়াশ-I
53,ফেস ওয়াশ ব্যবহারে ত্বকে ভালো পরিবর্তন এসেছে।,2,ফেস-B ওয়াশ-I
54,ফেস ওয়াশটা দিয়ে মুখ ধুলে সতেজ লাগে।,2,
55,মেয়াদ আছে এবং প্যাকেজিং ভালো। ফেস ওয়াশ রিকমেন্ড করব।,2,ফেস-B ওয়াশ-I
56,অনেক ভালো ফোমিং করে ফেস ওয়াশটা।,2,
57,অনেক ভালো ফোমিং করে ফেস ওয়াশটা।,2,
58,ফেস ওয়াশ নিয়ে আমি অনেক খুশি। বারবার কিনব।,2,ফেস-B ওয়াশ-I
59,"অর্ডার করেছিলাম অন্য পণ্য, দিয়েছে ফেস ওয়াশ এর বদলে অন্যটা।",0,ফেস-B ওয়াশ-I
60,"প্রথমবার কিনলাম ফেস ওয়াশ, খুব উপকৃত হলাম।",2,ফেস-B ওয়াশ-I
61,অনেক ভালো ফোমিং করে ফেস ওয়াশটা।,2,
62,ফেস ওয়াশ একদম অরিজিনাল। ধন্যবাদ দারাজকে।,2,ফেস-B ওয়াশ-I
63,"অনেকদিন খুঁজছিলাম, শেষে ভালো ফেস ওয়াশ পেলাম।",2,ফেস-B ওয়াশ-I
64,ফেস ওয়াশ খুব ভালো প্রোডাক্ট। রিকমেন্ড করছি।,2,ফেস-B ওয়াশ-I
65,পণ্যের মান নিয়ে নিশ্চিত নই। ফেস ওয়াশ নতুন কিনলাম।,1,ফেস-B ওয়াশ-I
66,অনেক ভালো ফোমিং করে ফেস ওয়াশটা।,2,
67,ফেস ওয়াশটা দিয়ে মুখ ধুলে সতেজ লাগে।,2,
68,আলহামদুলিল্লাহ ভালো ফেস ওয়াশ পেয়েছি।,2,ফেস-B ওয়াশ-I
69,ফেস ওয়াশটা মুখ পরিষ্কার রাখছে খুব ভালো।,2,
70,একটা ফেস ওয়াশ কম পাওয়া গেছে। সেলার প্রতারণা করেছেন।,0,ফেস-B ওয়াশ-I
71,এই প্রথম ফেস ওয়াশ কিনলাম। দেখি কেমন কাজ করে।,1,ফেস-B ওয়াশ-I
72,মোটামুটি মানের ফেস ওয়াশ। না ভালো না খারাপ।,1,ফেস-B ওয়াশ-I
73,"মাশাআল্লাহ, অনেক সুন্দর ফেস ওয়াশ। ধন্যবাদ সেলারকে।",2,ফেস-B ওয়াশ-I
74,এত কম দামে এত ভালো ফেস ওয়াশ পাওয়া যায় ভাবিনি।,2,ফেস-B ওয়াশ-I
75,অনেক ভালো প্রোডাক্ট। ফেস ওয়াশ নিয়ে খুশি।,2,ফেস-B ওয়াশ-I
76,বাজে প্রোডাক্ট। ফেস ওয়াশ কিনে পস্তালাম।,0,ফেস-B ওয়াশ-I
77,পণ্যটি যেমন দেখিয়েছিল তেমনই পেয়েছি। ফেস ওয়াশ ভালো।,2,ফেস-B ওয়াশ-I
78,ফেস ওয়াশ ব্যবহারে ত্বকে ভালো পরিবর্তন এসেছে।,2,ফেস-B ওয়াশ-I
79,ছবিতে যেমন দেখিয়েছিল ফেস ওয়াশ তেমন না।,0,ফেস-B ওয়াশ-I
80,"ফেস ওয়াশ হাতে পেয়েছি, প্যাকেজিং ঠিকঠাক।",1,ফেস-B ওয়াশ-I
81,ফেস ওয়াশটা দিয়ে মুখ ধুলে সতেজ লাগে।,2,
82,ফেস ওয়াশটা দিয়ে মুখ ধুলে সতেজ লাগে।,2,
83,"ফেস ওয়াশ পেয়েছি, দেখি কাজ করে কিনা।",1,ফেস-B ওয়াশ-I
84,ফেস ওয়াশ পণ্যটি ছবির মতোই এসেছে।,1,ফেস-B ওয়াশ-I
85,সেলার ভালো মানের ফেস ওয়াশ দিয়েছেন। ধন্যবাদ।,2,ফেস-B ওয়াশ-I
86,ফেস ওয়াশ লাগানোর পর ত্বক নরম লাগছে।,2,ফেস-B ওয়াশ-I
87,"ফেস ওয়াশ পেয়েছি, দেখি কাজ করে কিনা।",1,ফেস-B ওয়াশ-I
88,ফেস ওয়াশ পেয়ে অনেক খুশি হলাম। বন্ধুদেরও বলব।,2,ফেস-B ওয়াশ-I
89,"অনেকদিন খুঁজছিলাম, শেষে ভালো ফেস ওয়াশ পেলাম।",2,ফেস-B ওয়াশ-I
90,সেলার সময়মতো ফেস ওয়াশ পাঠিয়েছেন।,1,ফেস-B ওয়াশ-I
91,ফেস ওয়াশ ঠিকমতো পাঠানো হয়েছে। আর কিছু বলব না।,1,ফেস-B ওয়াশ-I
92,ফেস ওয়াশ এর মেয়াদ প্রায় শেষ। নেওয়া উচিত হয়নি।,0,ফেস-B ওয়াশ-I
93,ফেস ওয়াশটা মুখ পরিষ্কার রাখছে খুব ভালো।,2,
94,ফেস ওয়াশ লাগানোর পর ত্বক নরম লাগছে।,2,ফেস-B ওয়াশ-I
95,"প্রথমবার কিনলাম ফেস ওয়াশ, খুব উপকৃত হলাম।",2,ফেস-B ওয়াশ-I
96,"ফেস ওয়াশ হাতে পেয়েছি, প্যাকেজিং ঠিকঠাক।",1,ফেস-B ওয়াশ-I
97,বাজারের চেয়ে কম দামে পেলাম ফেস ওয়াশ। খুশি হলাম।,2,ফেস-B ওয়াশ-I
98,"ফেস ওয়াশ দিয়েছে, তবে রিভিউ পরে দেব।",1,ফেস-B ওয়াশ-I
99,ফেস ওয়াশটা আঠা আঠা ছিল। সীল খোলা ছিল।,0,
100,জেনুইন প্রোডাক্ট। ফেস ওয়াশ দিয়ে অনেক সন্তুষ্ট।,2,ফেস-B ওয়াশ-I
101,"ডেটল সাবান দিয়েছে, তবে রিভিউ পরে দেব।",1,ডেটল-B সাবান-I
102,ডেটল সাবানের সুগন্ধ অনেক ভালো।,2,
103,আলহামদুলিল্লাহ ভালো ডেটল সাবান পেয়েছি।,2,ডেটল-B সাবান-I
104,ডেটল সাবান এর প্যাকেজিং ভালো ছিল। পণ্যটা দেখতে হবে।,1,ডেটল-B সাবান-I
105,ডেটল সাবান টা অনেক ভালো ছিল। সবাই নিতে পারেন।,2,ডেটল-B সাবান-I
106,ডেটল সাবানের সুগন্ধ অনেক ভালো।,2,
107,দামের তুলনায় ডেটল সাবান অনেক ভালো।,2,ডেটল-B সাবান-I
108,ডেটল সাবান কমদামে পেয়ে খুশি।,2,ডেটল-B সাবান-I
109,ডেটল সাবানের সুগন্ধ অনেক ভালো।,2,
110,ডেটল সাবান খুব কার্যকর। পরিবারের সবার কাজে আসছে।,2,ডেটল-B সাবান-I
111,এত কম কোয়ালিটির ডেটল সাবান আশা করিনি। ফেরত দিতে চাই।,0,ডেটল-B সাবান-I
112,দ্রুত ডেলিভারি এবং ডেটল সাবান একদম ভালো।,2,ডেটল-B সাবান-I
113,অরিজিনাল ডেটল সাবান পেয়েছি। অনেক ধন্যবাদ।,2,ডেটল-B সাবান-I
