id,review,sentiment,bio_tagged_review
1,অনেক ভালো ছিল ফেস ওয়াশ কমে দামে। আপনারা চাইলে নিতে পারেন।,2,অনেক ভালো ছিল ফেস-B ওয়াশ-I কমে দামে। আপনারা চাইলে নিতে পারেন।
2,প্রডাক্ট আশানুরূপ সাথে একটা ফেস ওয়াশ ফ্রি দেওয়ার জন্য ধন্যবাদ।,2,প্রডাক্ট আশানুরূপ সাথে একটা ফেস-B ওয়াশ-I ফ্রি দেওয়ার জন্য ধন্যবাদ।
3,"অসাধারণ! মিনি ফেস ওয়াশ, খুব ভালো প্রোডাক্ট।",2,"অসাধারণ! মিনি ফেস-B ওয়াশ-I, খুব ভালো প্রোডাক্ট।"
4,প্যাকেজিং খুব ভালো ছিল। অরিজিনাল ফেস ওয়াশ পেয়েছি।,2,প্যাকেজিং খুব ভালো ছিল। অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি।
5,জাস্ট অসাধরন ফেস ওয়াশ। আমার খুবই পছন্দ হয়েছে।,2,জাস্ট অসাধরন ফেস-B ওয়াশ-I। আমার খুবই পছন্দ হয়েছে।
6,এত কম দামে ফেস ওয়াশ। খুব খুশি কিনতে পেরে।,2,এত কম দামে ফেস-B ওয়াশ-I। খুব খুশি কিনতে পেরে।
7,অসাধারণ ফেস ওয়াশ। সবার ব্যবহার করা উচিত।,2,অসাধারণ ফেস-B ওয়াশ-I। সবার ব্যবহার করা উচিত।
8,প্যাকেজিং খুব ভালো ছিল। অরিজিনাল ফেস ওয়াশ পেয়েছি।,2,প্যাকেজিং খুব ভালো ছিল। অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি।
9,প্যাকেজিং খুব ভালো ছিল। অরিজিনাল ফেস ওয়াশ পেয়েছি।,2,প্যাকেজিং খুব ভালো ছিল। অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি।
10,ছবির সাথে ফেস ওয়াশ এর হুবহু মিল আছে। খুব সুন্দর।,2,ছবির সাথে ফেস-B ওয়াশ-I এর হুবহু মিল আছে। খুব সুন্দর।
11,অনেক ভালো ছিল ফেস ওয়াশ কমে দামে। আপনারা চাইলে নিতে পারেন।,2,অনেক ভালো ছিল ফেস-B ওয়াশ-I কমে দামে। আপনারা চাইলে নিতে পারেন।
12,ফেস ওয়াশ সবসময়ই অনেক ভালো কাজ করে। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I সবসময়ই অনেক ভালো কাজ করে। ধন্যবাদ সেলারকে।
13,"ফেস ওয়াশ নিয়ে নতুন কি আর বলব, দারুন!",2,"ফেস-B ওয়াশ-I নিয়ে নতুন কি আর বলব, দারুন!"
14,দাম অনুযায়ী অনেক ভালো একটা ফেস ওয়াশ।,2,দাম অনুযায়ী অনেক ভালো একটা ফেস-B ওয়াশ-I।
15,অর্ডারের সাথে ফেস ওয়াশ টা দেয়া হয়নি প্যাকেটে।,0,অর্ডারের সাথে ফেস-B ওয়াশ-I টা দেয়া হয়নি প্যাকেটে।
16,অনেক ভালো একটি ফেস ওয়াশ। ধন্যবাদ সেলারকে।,2,অনেক ভালো একটি ফেস-B ওয়াশ-I। ধন্যবাদ সেলারকে।
17,"আমি দুইবার নিয়েছি, ভালো ফেস ওয়াশ সবাই পছন্দ করে নিতে পারেন।",2,"আমি দুইবার নিয়েছি, ভালো ফেস-B ওয়াশ-I সবাই পছন্দ করে নিতে পারেন।"
18,ধন্যবাদ দারাজ কে। সঠিক ফেস ওয়াশ হাতে পেয়েছি।,2,ধন্যবাদ দারাজ কে। সঠিক ফেস-B ওয়াশ-I হাতে পেয়েছি।
19,প্যাকেজিং খুব ভালো ছিল। অরিজিনাল ফেস ওয়াশ পেয়েছি।,2,প্যাকেজিং খুব ভালো ছিল। অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি।
20,অনেক ভালো একটি ফেস ওয়াশ। ধন্যবাদ সেলারকে।,2,অনেক ভালো একটি ফেস-B ওয়াশ-I। ধন্যবাদ সেলারকে।
21,অনেক ভালো ফেস ওয়াশ। দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।,2,অনেক ভালো ফেস-B ওয়াশ-I। দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।
22,খুব দ্রুত হাতে পেয়েছি। ফেস ওয়াশ এর মান মোটামুটি বলা যায়।,1,খুব দ্রুত হাতে পেয়েছি। ফেস-B ওয়াশ-I এর মান মোটামুটি বলা যায়।
